word,word length
Four,4
score,5
and,3
seven,5
years,5
"ago,",3
our,3
fathers,7
brought,7
forth,5
upon,4
this,4
continent,9
a,1
new,3
nation:,6
conceived,9
in,2
"liberty,",7
and,3
dedicated,9
to,2
the,3
proposition,11
that,4
all,3
men,3
are,3
created,7
equal.,5
Now,3
we,2
are,3
engaged,7
in,2
a,1
great,5
civil,5
"war,",3
testing,7
whether,7
that,4
"nation,",6
or,2
any,3
nation,6
so,2
conceived,9
and,3
so,2
"dedicated,",9
can,3
long,4
endure.,6
We,2
are,3
met,3
on,2
a,1
great,5
battlefield,11
of,2
that,4
war.,3
We,2
have,4
come,4
to,2
dedicate,8
a,1
portion,7
of,2
that,4
field,5
as,2
a,1
final,5
resting,7
place,5
for,3
those,5
who,3
here,4
gave,4
their,5
lives,5
that,4
that,4
nation,6
might,5
live.,4
It,2
is,2
altogether,10
fitting,7
and,3
proper,6
that,4
we,2
should,6
do,2
this.,4
"But,",3
in,2
a,1
larger,6
"sense,",5
we,2
cannot,6
"dedicate,",8
we,2
cannot,6
"consecrate,",10
we,2
cannot,6
hallow,6
this,4
ground.,6
The,3
brave,5
"men,",3
living,6
and,3
"dead,",4
who,3
struggled,9
here,4
have,4
consecrated,11
"it,",2
far,3
above,5
our,3
poor,4
power,5
to,2
add,3
or,2
detract.,7
The,3
world,5
will,4
little,6
"note,",4
nor,3
long,4
"remember,",8
what,4
we,2
say,3
"here,",4
but,3
it,2
can,3
never,5
forget,6
what,4
they,4
did,3
here.,4
It,2
is,2
for,3
us,2
the,3
"living,",6
"rather,",6
to,2
be,2
dedicated,9
here,4
to,2
the,3
unfinished,10
work,4
which,5
they,4
who,3
fought,6
here,4
have,4
thus,4
far,3
so,2
nobly,5
advanced.,8
It,2
is,2
rather,6
for,3
us,2
to,2
be,2
here,4
dedicated,9
to,2
the,3
great,5
task,4
remaining,9
before,6
"us,",2
that,4
from,4
these,5
honored,7
dead,4
we,2
take,4
increased,9
devotion,8
to,2
that,4
cause,5
for,3
which,5
they,4
gave,4
the,3
last,4
full,4
measure,7
of,2
"devotion,",8
that,4
we,2
here,4
highly,6
resolve,7
that,4
these,5
dead,4
shall,5
not,3
have,4
died,4
in,2
"vain,",4
that,4
this,4
"nation,",6
under,5
"God,",3
shall,5
have,4
a,1
new,3
birth,5
of,2
"freedom,",7
and,3
that,4
government,10
of,2
the,3
"people,",6
by,2
the,3
"people,",6
for,3
the,3
"people,",6
shall,5
not,3
perish,6
from,4
the,3
earth.,5
